appid,name,type,required_age,is_free,detailed_description,price,developers,categories,release_date,genres
492720,Tropico 6,game,13,False,,CLP$ 19.750,Limbic Entertainment,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","29 Mar, 2019","['Simulation', 'Strategy']"
392160,X4: Foundations,game,0,False,,CLP$ 23.800,Egosoft,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Steam Cloud', 'Family Sharing']","30 Nov, 2018","['Action', 'Simulation', 'Strategy']"
392160,X4: Foundations,game,0,False,,CLP$ 23.800,Egosoft,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Steam Cloud', 'Family Sharing']","30 Nov, 2018","['Action', 'Simulation', 'Strategy']"
2634950,Tokyo Xtreme Racer,game,0,False,,CLP$ 29.999,"Genki Co., Ltd.","['Single-player', 'Steam Achievements', 'Full controller support', 'Custom Volume Controls', 'Playable without Timed Input', 'Steam Cloud', 'Family Sharing']","24 Sep, 2025","['Racing', 'RPG']"
212680,FTL: Faster Than Light,game,0,False,,CLP$ 5.500,Subset Games,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","14 Sep, 2012","['Indie', 'Simulation', 'Strategy']"
668580,Atomic Heart,game,17,False,,CLP$ 43.990,Mundfish,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","20 Feb, 2023","['Action', 'Adventure', 'RPG']"
444090,Paladins®,game,0,True,,Free,Evil Mojo Games,"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","8 May, 2018","['Action', 'Adventure', 'Massively Multiplayer', 'Strategy', 'Free To Play']"
848450,Subnautica: Below Zero,game,0,False,,$20.99 USD,Unknown Worlds Entertainment,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","13 May, 2021","['Adventure', 'Indie']"
1151640,Horizon Zero Dawn™ Complete Edition,game,12,False,,Free,Guerrilla,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","7 Aug, 2020","['Action', 'Adventure', 'RPG']"
535930,Two Point Hospital,game,0,False,,CLP$ 17.000,Two Point Studios,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","29 Aug, 2018","['Indie', 'Simulation']"
1213210,Command & Conquer™ Remastered Collection,game,13,False,,CLP$ 17.900,Petroglyph,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']","5 Jun, 2020",['Strategy']
2288150,ROMANCE OF THE THREE KINGDOMS 8 REMAKE,game,0,False,,CLP$ 47.900,"KOEI TECMO GAMES CO., LTD.","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Custom Volume Controls', 'Adjustable Difficulty', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","23 Oct, 2024","['Simulation', 'Strategy']"
389730,TEKKEN 7,game,0,False,,CLP$ 25.499,BANDAI NAMCO Studios Inc.,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","1 Jun, 2017","['Action', 'Sports']"
637650,FINAL FANTASY XV WINDOWS EDITION,game,13,False,,CLP$ 9.280,Square Enix,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","6 Mar, 2018",['RPG']
1859910,Legend of Mortal,game,0,False,,CLP$ 10.500,Obb Studio Inc.,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","14 Jun, 2024","['Adventure', 'Indie', 'RPG', 'Strategy']"
2285150,The Front,game,0,False,,CLP$ 10.500,Samar Studio,"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']","30 Oct, 2025","['Action', 'Indie', 'Massively Multiplayer', 'Simulation']"
952060,Resident Evil 3,game,0,False,,CLP$ 10.700,"CAPCOM Co., Ltd.","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']","2 Apr, 2020",['Action']
2218750,Halls of Torment,game,0,False,,CLP$ 3.900,Chasing Carrots,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Custom Volume Controls', 'Keyboard Only Option', 'Mouse Only Option', 'Playable without Timed Input', 'Steam Cloud', 'Family Sharing']","24 Sep, 2024","['Action', 'Indie', 'RPG']"
274170,Hotline Miami 2: Wrong Number,game,17,False,,CLP$ 8.300,Dennaton Games,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on TV', 'Family Sharing']","10 Mar, 2015","['Action', 'Indie']"
2688950,Planet Coaster 2,game,0,False,,CLP$ 25.800,Frontier Developments,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']","6 Nov, 2024","['Simulation', 'Strategy']"
2993780,FANTASY LIFE i: The Girl Who Steals Time,game,0,False,,CLP$ 49.999,LEVEL5 Inc.,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'HDR available', 'Family Sharing']","21 May, 2025",['RPG']
1154030,Titan Quest II,game,0,False,,CLP$ 18.000,Grimlore Games,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Family Sharing']","1 Aug, 2025","['Action', 'RPG', 'Early Access']"
200510,XCOM: Enemy Unknown,game,17,False,,CLP$ 14.500,Firaxis Games,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","11 Oct, 2012",['Strategy']
